actor_id,first_name,last_name,last_update
1,Penelope,Guiness,2006-02-15 04:34:33
2,Nick,Wahlberg,2006-02-15 04:34:33
3,Ed,Chase,2006-02-15 04:34:33
4,Jennifer,Davis,2006-02-15 04:34:33
5,Johnny,Lollobrigida,2006-02-15 04:34:33
6,Bette,Nicholson,2006-02-15 04:34:33
7,Grace,Mostel,2006-02-15 04:34:33
8,Matthew,Johansson,2006-02-15 04:34:33
9,Joe,Swank,2006-02-15 04:34:33
10,Christian,Gable,2006-02-15 04:34:33
11,Zero,Cage,2006-02-15 04:34:33
12,Karl,Berry,2006-02-15 04:34:33
13,Uma,Wood,2006-02-15 04:34:33
14,Vivien,Bergen,2006-02-15 04:34:33
15,Cuba,Olivier,2006-02-15 04:34:33
16,Fred,Costner,2006-02-15 04:34:33
17,Helen,Voight,2006-02-15 04:34:33
18,Dan,Torn,2006-02-15 04:34:33
19,Bob,Fawcett,2006-02-15 04:34:33
20,Lucille,Tracy,2006-02-15 04:34:33
21,Kirsten,Paltrow,2006-02-15 04:34:33
22,Elvis,Marx,2006-02-15 04:34:33
23,Sandra,Kilmer,2006-02-15 04:34:33
24,Cameron,Streep,2006-02-15 04:34:33
25,Kevin,Bloom,2006-02-15 04:34:33
26,Rip,Crawford,2006-02-15 04:34:33
27,Julia,Mcqueen,2006-02-15 04:34:33
28,Woody,Hoffman,2006-02-15 04:34:33
29,Alec,Wayne,2006-02-15 04:34:33
30,Sandra,Peck,2006-02-15 04:34:33
31,Sissy,Sobieski,2006-02-15 04:34:33
32,Tim,Hackman,2006-02-15 04:34:33
33,Milla,Peck,2006-02-15 04:34:33
34,Audrey,Olivier,2006-02-15 04:34:33
35,Judy,Dean,2006-02-15 04:34:33
36,Burt,Dukakis,2006-02-15 04:34:33
37,Val,Bolger,2006-02-15 04:34:33
38,Tom,Mckellen,2006-02-15 04:34:33
39,Goldie,Brody,2006-02-15 04:34:33
40,Johnny,Cage,2006-02-15 04:34:33
41,Jodie,Degeneres,2006-02-15 04:34:33
42,Tom,Miranda,2006-02-15 04:34:33
43,Kirk,Jovovich,2006-02-15 04:34:33
44,Nick,Stallone,2006-02-15 04:34:33
45,Reese,Kilmer,2006-02-15 04:34:33
46,Parker,Goldberg,2006-02-15 04:34:33
47,Julia,Barrymore,2006-02-15 04:34:33
48,Frances,Day-Lewis,2006-02-15 04:34:33
49,Anne,Cronyn,2006-02-15 04:34:33
50,Natalie,Hopkins,2006-02-15 04:34:33
51,Gary,Phoenix,2006-02-15 04:34:33
52,Carmen,Hunt,2006-02-15 04:34:33
53,Mena,Temple,2006-02-15 04:34:33
54,Penelope,Pinkett,2006-02-15 04:34:33
55,Fay,Kilmer,2006-02-15 04:34:33
56,Dan,Harris,2006-02-15 04:34:33
57,Jude,Cruise,2006-02-15 04:34:33
58,Christian,Akroyd,2006-02-15 04:34:33
59,Dustin,Tautou,2006-02-15 04:34:33
60,Henry,Berry,2006-02-15 04:34:33
61,Christian,Neeson,2006-02-15 04:34:33
62,Jayne,Neeson,2006-02-15 04:34:33
63,Cameron,Wray,2006-02-15 04:34:33
64,Ray,Johansson,2006-02-15 04:34:33
65,Angela,Hudson,2006-02-15 04:34:33
66,Mary,Tandy,2006-02-15 04:34:33
67,Jessica,Bailey,2006-02-15 04:34:33
68,Rip,Winslet,2006-02-15 04:34:33
69,Kenneth,Paltrow,2006-02-15 04:34:33
70,Michelle,Mcconaughey,2006-02-15 04:34:33
71,Adam,Grant,2006-02-15 04:34:33
