film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,last_update
1,Academy Dinosaur,A epic drama of a feminist and a mad scientist who must battle a teacher in the canadian rockies,2006,1,6,0.99,86,20.99,PG,2006-02-15 05:03:42
2,Ace Goldfinger,A astounding epistle of a database administrator and a explorer who must find a car in ancient china,2006,1,3,4.99,48,12.99,G,2006-02-15 05:03:42
3,Adaptation Holes,A astounding reflection of a lumberjack and a car who must sink a lumberjack in a baloon factory,2006,1,7,2.99,50,18.99,NC-17,2006-02-15 05:03:42
4,Affair Prejudice,A fanciful documentary of a frisbee and a lumberjack who must chase a monkey in a shark tank,2006,1,5,2.99,117,26.99,G,2006-02-15 05:03:42
5,African Egg,A fast-paced documentary of a pastry chef and a dentist who must pursue a forensic psychologist in the gulf of mexico,2006,1,6,2.99,130,22.99,G,2006-02-15 05:03:42
6,Agent Truman,A intrepid panorama of a robot and a boy who must escape a sumo wrestler in ancient china,2006,1,3,2.99,169,17.99,PG,2006-02-15 05:03:42
7,Airplane Sierra,A touching saga of a hunter and a butler who must discover a butler in a jet boat,2006,1,6,4.99,62,28.99,PG-13,2006-02-15 05:03:42
8,Airport Pollock,A epic tale of a moose and a girl who must confront a monkey in ancient india,2006,1,6,4.99,54,15.99,R,2006-02-15 05:03:42
9,Alabama Devil,A thoughtful panorama of a database administrator and a mad scientist who must outgun a mad scientist in a jet boat,2006,1,3,2.99,114,21.99,PG-13,2006-02-15 05:03:42
10,Aladdin Calendar,A action-packed tale of a man and a lumberjack who must reach a feminist in ancient china,2006,1,6,4.99,63,24.99,NC-17,2006-02-15 05:03:42
11,Alamo Videotape,A boring epistle of a butler and a cat who must fight a pastry chef in a mysql convention,2006,1,6,0.99,126,16.99,G,2006-02-15 05:03:42
12,Alaska Phantom,A fanciful saga of a hunter and a pastry chef who must vanquish a boy in australia,2006,1,6,0.99,136,22.99,PG,2006-02-15 05:03:42
13,Ali Forever,A action-packed drama of a dentist and a crocodile who must battle a feminist in the canadian rockies,2006,1,4,4.99,150,21.99,PG,2006-02-15 05:03:42
14,Alice Fantasia,A emotional drama of a a shark and a database administrator who must vanquish a pioneer in soviet georgia,2006,1,6,0.99,94,23.99,NC-17,2006-02-15 05:03:42
15,Alien Center,A brilliant drama of a cat and a mad scientist who must battle a feminist in a mysql convention,2006,1,5,2.99,46,10.99,NC-17,2006-02-15 05:03:42
16,Alley Evolution,A fast-paced drama of a robot and a composer who must battle a astronaut in new orleans,2006,1,6,2.99,180,23.99,NC-17,2006-02-15 05:03:42
17,Alone Trip,A fast-paced character study of a composer and a dog who must outgun a boat in an abandoned fun house,2006,1,3,0.99,82,14.99,R,2006-02-15 05:03:42
18,Alter Victory,A thoughtful drama of a composer and a feminist who must meet a secret agent in the canadian rockies,2006,1,6,0.99,57,27.99,PG-13,2006-02-15 05:03:42
19,Amadeus Holy,A emotional display of a pioneer and a technical writer who must battle a man in a baloon,2006,1,6,0.99,113,20.99,PG,2006-02-15 05:03:42
20,Amelie Hellfighters,A boring drama of a woman and a squirrel who must conquer a student in a baloon,2006,1,4,4.99,79,23.99,R,2006-02-15 05:03:42
21,American Circus,A insightful drama of a girl and a astronaut who must face a database administrator in a shark tank,2006,1,3,4.99,129,17.99,R,2006-02-15 05:03:42
22,Amistad Midsummer,A emotional character study of a dentist and a crocodile who must meet a sumo wrestler in california,2006,1,6,2.99,85,10.99,G,2006-02-15 05:03:42
23,Anaconda Confessions,A lacklusture display of a dentist and a dentist who must fight a girl in australia,2006,1,3,0.99,92,9.99,R,2006-02-15 05:03:42
